Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
66c32d98000000001f03eeac,NYU学弟学妹：想申研，慎重考虑转Stern,Smart学长聊留学,108,1440,1080,normal
643eeca000000000130160b1,纽约无滤镜丨NYU Stern上课实录,Chuck在纽约,180,1418,1064,video
6700c5ce000000002a0353e9,纽大stern商学院｜我希望提前知道的5个真相,Allison不是矮丽森,177,4032,3024,normal
663b9270000000001e037f06,毕业6年回顾｜NYU Stern性价比如何,江江江小梨,742,2560,1920,normal
66fb1329000000001b021997,在stern偶遇川普小儿子巴伦,芒果小椰椰,1708,3648,2736,normal
351bc82e-d7b6-4b2f-8fe8-1aadb8b64186#1729472289406,,,0,0,0,normal
66623814000000000d00fb9b,NYU Stern开学第一周Plog来咯💜,罐装Rhein,138,1920,1440,normal
65db5f4c000000000b021206,越来越不想干金融了,埋头苦学嘎,87,1920,2560,normal
66dab94c0000000012010514,,Hazel学姐,241,1080,1080,normal
671306f3000000001402e393,普高到NYU Stern，我会在华尔街打破女性困境,One Strategy Group,7,1366,1024,normal
6682e511000000001f005f1c,Stern‘28 Chinese Cohort,Conr,459,1920,2560,normal
66eb4142000000001e01a36c,偶遇世界顶级高富帅,LuckyLikey,1671,1920,1080,video
664edfad000000001401a692,毕业于 NYU 世界大学 🤪,Edith.Zhang,143,1707,1280,normal
66f1e102000000001902d66f,打卡NYU stern地标特少爷,Freya,1572,4032,3024,normal
66d7822a000000001f015573,NYU Stern商学院学姐开学前都会干什么,Allison不是矮丽森,91,4032,3024,normal
351bc82e-d7b6-4b2f-8fe8-1aadb8b64186#1729472289406,,,0,0,0,normal
66ff4b1f000000002a034cab,留学vlog｜特朗普儿子的开学典礼长这样,是杰妮诶,435,1920,1440,video
66e788ea000000000c019e6f,就喜欢 NYU Stern 这些反社会人格教授,小刘萨萨在纽约,187,1920,1080,normal
66ea92af000000000c01b220,谁能想到……他们竟然是校友！,咖啡狂魔（留子版）,81,1706,1280,normal
66a39c5200000000050219bc,抢钱的保底神校NYU，还值得申吗？,杰瑞妈聊留学,8,1600,1200,normal
66a682e5000000000600e493,,飞扬跋扈NYU,142,1920,1080,normal
6651248a00000000140196b9,Stern的俩名人,云卷云舒,217,600,801,normal
671306f3000000001402e393,普高到NYU Stern，我会在华尔街打破女性困境,One Strategy Group,7,1366,1024,normal
665bea4a0000000015010f07,纽约vlog｜研究生踏进了NYU Stern的大楼,viviiian,66,1920,1440,video
6700c5ce000000002a0353e9,纽大stern商学院｜我希望提前知道的5个真相,Allison不是矮丽森,177,4032,3024,normal
6468159200000000130056bf,以全校第一的成绩从Stern毕业啦😈,邱小喵,5803,1920,1440,normal
637c43200000000011012cbc,NYU STERN学生会竞选,于家翊Ethan,7188,1441,1080,video
a60af540-8e7d-4827-872b-6c9f7752eecc#1729472294358,,,0,0,0,normal
66fb1329000000001b021997,在stern偶遇川普小儿子巴伦,芒果小椰椰,1708,3648,2736,normal
66dab94c0000000012010514,,Hazel学姐,241,1080,1080,normal
663b9270000000001e037f06,毕业6年回顾｜NYU Stern性价比如何,江江江小梨,742,2560,1920,normal
66c32d98000000001f03eeac,NYU学弟学妹：想申研，慎重考虑转Stern,Smart学长聊留学,108,1440,1080,normal
66eb4142000000001e01a36c,偶遇世界顶级高富帅,LuckyLikey,1671,1920,1080,video
66a043a0000000000a0244a0,NYU Stern专业第一毕业女校董的分享,于家翊Ethan,1101,1720,1292,video
66ff4b1f000000002a034cab,留学vlog｜特朗普儿子的开学典礼长这样,是杰妮诶,435,1920,1440,video
6651248a00000000140196b9,Stern的俩名人,云卷云舒,217,600,801,normal
66d7677f000000001e01a149,💜 Sternie 的日常 - 我们开学啦,OliviaX在纽约,57,4032,3024,normal
a60af540-8e7d-4827-872b-6c9f7752eecc#1729472294358,,,0,0,0,normal
6682e511000000001f005f1c,Stern‘28 Chinese Cohort,Conr,459,1920,2560,normal
66f1e102000000001902d66f,打卡NYU stern地标特少爷,Freya,1572,4032,3024,normal
66ea92af000000000c01b220,谁能想到……他们竟然是校友！,咖啡狂魔（留子版）,81,1706,1280,normal
64ec32080000000003022ae4,过来人4点心得分享，你真的适合Stern吗？,猪力力,144,1920,1280,normal
6193162d0000000021035c42,拿到Stern全奖MBA💜和哥大CBS啦💙（1）,Ginny羊,1367,568,426,normal
6554a2ad000000003300772c,一篇解析Stern | 不敢想拿到offer🈶多快乐,乔乔乔安（双非逆袭版）,98,1919,1357,normal
671306f3000000001402e393,普高到NYU Stern，我会在华尔街打破女性困境,One Strategy Group,7,1366,1024,normal
643eeca000000000130160b1,纽约无滤镜丨NYU Stern上课实录,Chuck在纽约,180,1418,1064,video
66fb1329000000001b021997,在stern偶遇川普小儿子巴伦,芒果小椰椰,1708,3648,2736,normal
6700c5ce000000002a0353e9,纽大stern商学院｜我希望提前知道的5个真相,Allison不是矮丽森,177,4032,3024,normal
66eb4142000000001e01a36c,偶遇世界顶级高富帅,LuckyLikey,1671,1920,1080,video
f5ea2506-90e2-4347-b56a-de40945ee045#1729472299146,,,0,0,0,normal
