Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
64d1e4f9000000000a018921,上纽大数据分析与商业计算24fall开放！,壹零肆叁EDU留学,4,1706,1280,normal
63bb89c100000000180125a4,上纽：数据分析和商业分析硕士最新就业报告,小红薯66695199,14,1558,1168,normal
65fe40f9000000001203d84c,一枚珍贵的纽约大学上海数据分析DABC录取,Carrie （搞事业版）,1,1286,1170,normal
66f45dfe000000002c01627e,回国读研首选-上海纽约大学｜数据分析硕士,Anna学姐讲申研,7,2560,2256,normal
6608e2d0000000001b00dba6,上海纽约大学 数据分析与商业技术计算录取,诺言美研咨询,27,2532,1170,normal
659d59e0000000001e004087,NYU就业数据统计,留学赵老师,2,2405,1803,normal
6614d84e000000001b00d20d,录取捷报：上纽数据分析和商业计算录取,小红薯66426142,0,1520,1062,normal
66135a7e000000001b00e951,成功案例：上海纽约大学数据分析与商业计算,小红薯66695199,0,1389,1067,normal
671f5cee00000000260376ee,2025上海纽约大学硕士项目招生啦！,新航道前程留学美研,2,1660,1245,normal
66963b2f0000000025017db9,官宣！上海纽约大学四个商科硕士即将开申,留学咨询梁老师,2,2180,1284,normal
668f763b000000002500775f,上海纽约大学四个商科硕士8月初开申❗️,vickie,3,999,750,normal
637750e9000000001b00d789,左滑帮➡️数据分析项目熊熊🐻过一天,NYUSH-NYUStern商科硕士,14,1080,1080,normal
7d1c6215-fa98-4c55-93f0-9c96ce35297b#1730246908068,,,0,0,0,normal
65dd6beb0000000007006554,中国申研｜上海纽约大学硕士Offer,TopOffer,12,2560,1914,normal
63dde8e6000000001b005075,NYU DABC👉数据分析商业计算⬇️合办项目解析,商科留子的懂王,14,1920,1440,normal
627a2d73000000002103df48,上海纽约大学7个硕士专业,留学老司机,87,898,969,normal
6659534f0000000016010d7d,我在NYUSH上过的最棒的cs课,Banana.K,61,1920,1440,normal
6614efea000000000401b15b,救救，上纽和港大offer怎么选？,武汉新东方前途出国,2,1660,1242,normal
65f47510000000001203fd54,我在上纽读计算机的后悔二三事,Banana.K,169,1920,1440,normal
671dae90000000001600de8c,Python 十六种常见的数据分析算法,机器树,613,3504,2479,normal
66ceca3b000000001f039e56,纽约大学CS就读体验+选课,TerraByte留学小助手,26,1502,1008,normal
66c86ed0000000001f01819c,直通NYU✨ 25fall上海纽约大学4个硕士开放,鸟黄的留学记事本,8,1920,1440,normal
656948a8000000003203b6a4,上纽昆杜面试模拟问题大全,斯黛啦学姐Stella,538,1920,1440,normal
67be471e-f8ff-4429-895a-0cd2ca51e412#1730246913512,,,0,0,0,normal
6479945f000000001300a971,上海纽约大学学习轻松吗？–附绩点换算表,叁讓學堂,75,1280,2560,normal
659e843b000000001200747f,上纽大2023就业报告发布：平均起薪约25万！,知乎周瑞-大学排名砖家,22,5671,1155,normal
