Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
6239a1a100000000010295e1,纽约大学量化金融,美研小糯君,15,1705,1280,normal
6305d557000000001800cef8,纽约大学(上海) 量化金融硕士 申请介绍,小糯君的工作室,43,1705,1280,normal
657baaab0000000007039daa,jhu carey 还是 上纽,饭吃饱饱啦,29,1410,2306,normal
65ab4474000000000f03511d,24Fall｜NYU Stern-Quant Fin ✅,黑不溜邱,16,600,1600,normal
659d59e0000000001e004087,NYU就业数据统计,留学赵老师,2,2405,1803,normal
66963b2f0000000025017db9,官宣！上海纽约大学四个商科硕士即将开申,留学咨询梁老师,2,2180,1284,normal
65acdf9f000000002e0088ff,绿卡反向留学上海NYU，还有3.5万刀奖学金！,明德立人美国硕博留学,11,1660,1242,normal
668f763b000000002500775f,上海纽约大学四个商科硕士8月初开申❗️,vickie,3,999,750,normal
630ceaf4000000000900d1c5,NYU 量化金融硕士 申请介绍,美研小糯君,12,1705,1280,normal
63955e0900000000220349c4,上纽大计量金融专业录取,橙意offer,3,866,1280,normal
622a2972000000000102e95c,22Fall晒offer｜NYU Stern+上纽量化金融录取,留学生网💙热腾腾的Offer,8,874,656,normal
66cc53b6000000001d03ae00,✅美研项目✅纽约大学量化金融硕士,小易学姐,4,1660,1245,normal
4edd24f2-c6ad-4e99-ab35-1ca141b11eb9#1730246716526,,,0,0,0,normal
62d5db700000000012000c2d,不出国读个硬核海外研究生⁉️,多伦多小谦君,18,1705,1280,normal
63bfae6e0000000022037ff3,上海纽约大学：计量金融硕士最新就业报告,小红薯66695199,7,1326,994,normal
64f93f12000000001e00f518,2024上海纽约大学商科硕士考虑下？,cooper学长,5,722,1080,normal
64d1906e000000000c037bbc,上海纽约大学计量金融硕士开放申请！,嘉海考研,5,1416,937,normal
66957aac000000002500468d,上海纽约大学商科硕士 8月即将开放申请通道,清柚申研档案袋,4,1660,1242,normal
641ac9790000000014024166,🟣NYU-SH stern offer来了｜上海纽约大学,Leo侃留学,6,1706,1280,normal
6276371f000000000102cad8,NYU Shanghai-Stern硕士项目录取结束…,Mr. John,10,551,621,normal
626b893d00000000010286bc,nyush msqf,小左一杯,1,1706,1280,normal
66920ed4000000002500032a,上纽4个商科硕士，2025年入学申请8月启动,小红薯666C2C5D,1,1170,1278,normal
66957aac000000002500468d,上海纽约大学商科硕士 8月即将开放申请通道,清柚申研档案袋,4,1660,1242,normal
7c0fb0a7-81a8-4ac0-946f-8bbb2f03aa39#1730246722056,,,0,0,0,normal
622048c0000000000102d279,NYU Stern MsQF 免面+奖 (分享篇),腊八蒜,43,341,341,normal
65f47510000000001203fd54,我在上纽读计算机的后悔二三事,Banana.K,169,1920,1440,normal
65c8e1ad000000002c036ae1,NYU&上纽 MS in Quant Fin Offer Get✔️✔️,雪🍐eee Alison,4,600,1226,normal
6479945f000000001300a971,上海纽约大学学习轻松吗？–附绩点换算表,叁讓學堂,75,1280,2560,normal
667cd95b000000001e0123b8,25fall注意‼️NYUSH商科硕士启动在即🔛,美研老阿姨Eva讲申请,6,1706,1280,normal
6659534f0000000016010d7d,我在NYUSH上过的最棒的cs课,Banana.K,61,1920,1440,normal
659e843b000000001200747f,上纽大2023就业报告发布：平均起薪约25万！,知乎周瑞-大学排名砖家,22,5671,1155,normal
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,741,2560,1920,normal
65bc8fab0000000002010cc4,GPA2.9 统计背景录取NYU Shanghai 量化金融,seekingbar2016,4,765,1035,normal
7c0fb0a7-81a8-4ac0-946f-8bbb2f03aa39#1730246722056,,,0,0,0,normal
6717650200000000210053e1,25Fall上海纽约大学7大硕士项目申请汇总,苏州新东方前途出国,1,1660,1245,normal
6702f8f6000000001b0213a0,上纽申请|文书题目深度分析|咬文嚼字,邵主任讲升学,26,2560,2031,normal
670895a7000000002c0154f3,毕业两年回顾｜上纽性价比如何,橘宝在路上🍊,217,2138,1604,normal
6667c572000000000d00edb7,上海纽约大学专业介绍来啦！,鱼鱼在努力🐟,54,1440,1080,normal
6710cf320000000024018302,上纽大研究生就业认可度怎么样,好运向我看齐,8,621,952,normal
661ced87000000001a014c5e,别再问今年上纽还能不能申，offer都发完啦,易度泽泽-留学咨询,4,1440,1080,normal
665be4630000000014019783,上海纽约大学第一位博士（CS）卡梅助理教授,叁讓學堂,124,480,1280,normal
66d05fb2000000001d01bc54,上纽&昆杜招生对比，我悟了！,会读书的小兵,66,1660,1242,normal
669fbf10000000002701fddf,上纽金融or上财金融？,xiyuepia,98,722,750,normal
66321bd9000000001e01d93d,,小陆子,3,1500,1125,normal
66f81b25000000002c014ca8,上海纽约大学,悦悦老师说升学,10,1098,1080,normal
44f1d52d-159b-40fc-93ab-2a7176ed9b7c#1730246727711,,,0,0,0,normal
65b3ab45000000001003ff32,24Fall｜WashU Olin-Quant Fin ✅,黑不溜邱,9,1419,1242,normal
63db3241000000001d01c458,🎉NYU Stern&上纽大量化金融录取～,引知圣地亚哥Kara,7,1080,1080,normal
5f30fc4c000000000100aa14,#中外合作办学明星校#上海纽约大学,Ms. Jing🌻,49,1440,1080,normal
64f6cad1000000001f03a303,在上纽大收获啥？？？,麦大叔上纽昆杜申请研究,3,1440,1080,normal
63888c71000000001f02286b,投行｜上纽大英文讲座两个小时 同学们很棒❗️,靳大盘JIN,60,960,1920,normal
63b7c50c000000001f003b71,上海纽约大学发布最新商科硕士毕业就业走向,易度泽泽-留学咨询,5,1358,1040,normal
62f4d4d1000000001402b24b,上海纽约大学 23部分硕士项目开放申请通道,Wan9_晨,3,1368,1026,normal
65f47510000000001203fd54,我在上纽读计算机的后悔二三事,Banana.K,169,1920,1440,normal
6479945f000000001300a971,上海纽约大学学习轻松吗？–附绩点换算表,叁讓學堂,75,1280,2560,normal
44f1d52d-159b-40fc-93ab-2a7176ed9b7c#1730246727711,,,0,0,0,normal
6717650200000000210053e1,25Fall上海纽约大学7大硕士项目申请汇总,苏州新东方前途出国,1,1660,1245,normal
656948a8000000003203b6a4,上纽昆杜面试模拟问题大全,斯黛啦学姐Stella,538,1920,1440,normal
6702f8f6000000001b0213a0,上纽申请|文书题目深度分析|咬文嚼字,邵主任讲升学,26,2560,2031,normal
64009af7000000001300d26e,我的大学三年半 💜,Harry Lee,406,1706,1280,normal
64f33a3d000000001d015440,上海纽约大学-商科硕士项目介绍,阿鱼留学工作室,11,810,1080,normal
654ec4d90000000032036a53,被上纽秒录的文书合集,斯黛啦学姐Stella,288,1650,1296,normal
667c205c000000001d0172e4,NYUSH择校,AI学习与前沿,38,1600,1200,normal
63e4ce1e0000000008020b9d,NYU上海✨数学助教｜“教完，你也能当教授,Lil-wen10,67,1438,1078,normal
65a5ddb6000000001103233c,🔥上纽大2023届商科硕士就业质量如何❓,V华通海派留学,3,1660,1242,normal
667c205c000000001d0172e4,NYUSH择校,AI学习与前沿,38,1600,1200,normal
63e4ce1e0000000008020b9d,NYU上海✨数学助教｜“教完，你也能当教授,Lil-wen10,67,1438,1078,normal
4a87f30b-bdd0-42ae-bfd9-8ffa782dc594#1730246733631,,,0,0,0,normal
670df63d000000001b0132cb,上纽➕昆杜校园日对比，看这张表就够啦🔥,罗博士聊港澳留学,33,2712,2030,normal
65a5ddb6000000001103233c,🔥上纽大2023届商科硕士就业质量如何❓,V华通海派留学,3,1660,1242,normal
63b06098000000002203a4c7,NYUSH大一｜22Fall GPA：3.83/4📚,哈喽蛋妮,82,640,1280,normal
61ffcac0000000000102d6c9,民办三本野鸡？上海纽约大学到底啥水平,国乎乎,1523,1705,1280,normal
6666babc00000000150115b1,在NYU上海的半个月,廖露西娅,148,2560,1920,normal
6647073a000000001401b3ed,上纽大商科硕士项目🔥,硕博留学LIKER,0,1706,1280,normal
671a341500000000160225fd,上纽大or昆山杜克，中外合作高校的双雄对决,留学那些事儿,1,4052,3200,normal
6717bec30000000021006c37,上纽通识课👊🏻没有情绪全是价值,小猫蛋卷-,45,1920,2560,normal
64180310000000001301384c,NYUSH真的很不错呢,CucumberChips,22,709,789,normal
4a87f30b-bdd0-42ae-bfd9-8ffa782dc594#1730246733631,,,0,0,0,normal
64d39c4d000000001201fd05,💜上海纽约大学-挑战全网最全商科硕士介绍|,阿鱼留学咨询,175,1024,769,normal
65e27f1f0000000004000638,我的bg居然初审被上纽拒了？？,Aiden,64,1547,1226,normal
643be9d800000000110100f9,本科生Neuroscience暑研｜NYU-Shanghai,苏黎世苏炳添,334,1308,1920,normal
6702ec4f000000001902c79c,上纽本科申请文书bridge builders 要写什么,邵主任讲升学,81,2560,2039,normal
